Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
-8	H	%	0	5	10	15	20	25	30	35	40	45	50	5% Health Bonus per Rank
-1	A	+	0	0	1	1	1	1	2	2	2	2	3	Default Lvl 1 Attack R2/R6/R10
-1	D	+	0	1	1	1	1	2	2	2	2	3	3	Default Lvl 1 Defense R1/R5/R9
-1	M	+	0	0	0	1	1	1	1	2	2	2	2	Default Lvl 1 Max. Damage R3/R7
-1	m	+	0	0	0	0	1	1	1	1	2	2	2	Default Lvl 1 Min. Damage R4/R8
-2	A	+	0	0	1	1	2	2	2	3	3	3	4	Default Lvl 2 Attack R2/R4/R7/R10
-2	D	+	0	1	1	1	2	2	3	3	3	4	4	Default Lvl 2 Defense R1/R4/R6/R9
-2	M	+	0	0	1	1	1	2	2	2	3	3	4	Default Lvl 2 Max. Damage R2/R5/R8/R10
-2	m	+	0	0	0	1	1	1	2	2	3	3	3	Default Lvl 2 Min. Damage R3/R6/R8
-3	A	+	0	1	1	2	2	3	3	4	4	5	5	Default Lvl 3 Attack R1/R3/R5/R7/R9
-3	D	+	0	1	1	2	2	3	3	4	4	5	5	Default Lvl 3 Defense R1/R3/R5/R7/R9
-3	M	+	0	0	1	1	2	2	3	3	4	4	5	Default Lvl 3 Max. Damage R2/R4/R6/R8/R10
-3	m	+	0	0	1	1	2	2	3	3	4	4	5	Default Lvl 3 Min. Damage R2/R4/R6/R8/R10
-4	A	+	0	1	2	2	3	4	5	6	6	7	8	Default Lvl 4 Attack R1/R2/R4/R5/R6/R7/R9/R10
-4	D	+	0	1	2	3	3	4	4	5	6	7	8	Default Lvl 4 Defense R1/R2/R3/R5/R7/R8/R9/R10
-4	M	+	0	0	1	1	2	2	3	3	4	4	5	Default Lvl 4 Max. Damage R2/R4/R6/R8/R10
-4	m	+	0	0	0	1	2	2	3	3	4	4	4	Default Lvl 4 Min. Damage R3/R4/R6/R8
-5	A	+	0	1	1	2	3	4	5	5	6	7	8	Default Lvl 5 Attack R1/R3/R4/R5/R6/R7/R9/R10
-5	D	+	0	1	2	3	3	4	5	6	6	7	8	Default Lvl 5 Defense R1/R2/R3/R5/R6/R7/R9/R10
-5	M	+	0	1	2	2	3	4	4	5	6	7	7	Default Lvl 5 Max. Damage R1/R2/R4/R5/R6/R8/R10
-5	m	+	0	0	1	2	3	3	4	5	6	6	7	Default Lvl 5 Min. Damage R2/R3/R4/R6/R7/R8/R10
-6	A	+	0	1	2	3	4	4	5	6	7	8	9	Default Lvl 6 Attack +1/Rank except R5
-6	D	+	0	1	2	2	3	4	5	6	7	8	9	Default Lvl 6 Defense +1/Rank except R3
-6	M	+	0	1	2	3	4	5	6	7	8	8	9	Default Lvl 6 Max. Damage +1/Rank except R9
-6	m	+	0	0	1	2	3	4	5	5	6	7	8	Default Lvl 6 Min. Damage +1/Rank except R7
